id,tweet
1962536851820155168,"Built with Next.js, Supabase, and LangChain.

👉 Try the live demo: https://t.co/oqwrLd0kmv

What's one project idea you've been considering? Share it below 👇 and see how Projenius can create a plan.

#AI #Builders #Productivity #LangChain #Nextjs https://t.co/L5c6V0Jdyr"
1962535613959426253,"step 3: AI fundamentals (only after you can code)

so this includes 
&gt; LangChain
&gt; vector databases
&gt; embeddings
&gt; RAG

these are the building blocks behind most AI applications"
1962534130660659580,"RT @fe_js_engineer: AI AgentにMicrosoft, aws, Google, OpenAI, Meta,AnthropicのAI最新Updateをスライドにして情報収集
その過程をLLMOpsで監視

なかなかいいスライド出来ているので、デコレーショ…"
1962528838929486163,"RT @mdancho84: 🚨 NEW WORKSHOP: I'm sharing one of my best AI Projects for FREE: 

How I built an AI Customer Segmentation Agent with Python…"
1962524073864438059,"Langchain is great, you just need to follow its documentation…

If you are an AI Engineer I’m sure you have suffered this before.

LangChain has gained lot of popularity for prototyping agents. But when you move into production… reality hits hard.

Here’s what I’ve seen again https://t.co/ICmtIsCy0u"
1962523182423789796,"1️⃣ LangChain – Think of it as the framework.
It connects your AI to your business data, APIs, and tools so it doesn’t operate in isolation."
1962523057085353987,"Most people hear “LangChain, RAG, and Prompt Engineering” and think it’s just AI jargon.
But here’s how they actually work hand-in-hand to power real business systems 👇"
1962521656842162530,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962520119671734343,"@serperapi @langflow_ai @huggingface @Alibaba_Qwen @OpenAI @langfuse @llama_index @teamlangflow Wrapping up with,

 Vision Agent's + Langchain + Langfuse for tracing

- Reads an entire food menu of a person. 
- checks out the things he eats
- finds the ingredients for the meals
- does calculations

that's it. see ya :)

#learninpublic #buildinpublic #aiagents #ai https://t.co/VHAccFR9vz"
1962519241774731554,"RT @healoriq: Built an AI tool that takes meeting transcripts and turns them into short, clear summaries. Used Python, LangChain, , and Ope…"
1962518460493160714,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962517551696781789,"Built an AI tool that takes meeting transcripts and turns them into short, clear summaries. Used Python, LangChain, , and OpenAI. https://t.co/QyYPmXQDW6"
1962515940773449988,"🤖 #AIagents can now:

✅ Run test suites
✅ Search docs
✅ Write software
✅ Investigate cyber threats
✅ Handle customer support

Want to build one? Start now with guidance from authors @ttaulli &amp; @gkd711.

#LangChain #AutoGen #CrewAI #GenerativeAI 

🔗 https://t.co/wUfW12fc5T https://t.co/kM4WaDwGIG"
1962512836023972019,"Officially an Agent expert! 🥳  After battling a final project that almost broke me, I emerged victorious.  My certificate is proof!  🥇 #AI #HuggingFace #Agents #Langchain #CertificateOfExcellence https://t.co/nIPeDOBXhd"
1962512179870990787,"RT @Khulood_Almani: 🚨 🤖𝐓𝐡𝐞 𝐔𝐥𝐭𝐢𝐦𝐚𝐭𝐞 𝐑𝐨𝐚𝐝𝐦𝐚𝐩 𝐭𝐨 𝐌𝐚𝐬𝐭𝐞𝐫𝐢𝐧𝐠 #𝐀𝐈 𝐀𝐠𝐞𝐧𝐭𝐬 𝐢𝐧 𝟐𝟎𝟐𝟓 ⤵️

🎯 💡 Want to build the next ChatGPT, AutoGPT, or LangChain-p…"
1962510904458686942,"RT @KirkDBorne: Generative AI on Google Cloud with #LangChain — Design scalable #GenerativeAI solutions with #Python, LangChain, and Vertex…"
1962509171385094185,"AI AgentにMicrosoft, aws, Google, OpenAI, Meta,AnthropicのAI最新Updateをスライドにして情報収集
その過程をLLMOpsで監視

なかなかいいスライド出来ているので、デコレーションもしていきたい
#langchain 
#langgraph
#langsmith https://t.co/KEGU6wO0Tw"
1962505587989570041,"RT @Khulood_Almani: 🚨 🤖𝐓𝐡𝐞 𝐔𝐥𝐭𝐢𝐦𝐚𝐭𝐞 𝐑𝐨𝐚𝐝𝐦𝐚𝐩 𝐭𝐨 𝐌𝐚𝐬𝐭𝐞𝐫𝐢𝐧𝐠 #𝐀𝐈 𝐀𝐠𝐞𝐧𝐭𝐬 𝐢𝐧 𝟐𝟎𝟐𝟓 ⤵️

🎯 💡 Want to build the next ChatGPT, AutoGPT, or LangChain-p…"
1962503564636406030,"RT @KirkDBorne: Generative AI on Google Cloud with #LangChain — Design scalable #GenerativeAI solutions with #Python, LangChain, and Vertex…"
1962499966687158583,"NeuroPilot - An open-source Ed platform that transforms study materials into interactive resources.  
Create notes, flashcards, quizzes, and audio lessons from your documents. 

Built with @LangChainAI
GitHub: https://t.co/VDN5FEvLfy  
#EdTech #OpenSource #LangChain #AI #Learning"
1962495347059839264,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962493223265534052,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962490799490482185,"RT @mdancho84: 🚨 NEW WORKSHOP: I'm sharing one of my best AI Projects for FREE: 

How I built an AI Customer Segmentation Agent with Python…"
1962489542063108338,"🔹 AI integrations → OpenAI API, LangChain basics
🔹 Voice interface → speech control for agents
🔹 Agent projects → container builds, infra deploys
Blending AI + DevOps."
1962487664256389371,"Kindle版：特別割引キャンペーン実施中！

LangChainとLangGraphによるRAG・AIエージェント［実践］入門 エンジニア選書

↓Amazon
https://t.co/nsCNf83rl6

#PR(03:21:37)"
1962479915044950085,"8 Python Essentials
↳ Learn Python basics and best practices to build reliable AI apps.

9 Building with LangChain
↳ Learn how to build AI apps using the LangChain toolkit.
↳ LangChain helps connect LLMs to other tools and data to build more useful AI apps. https://t.co/mmaPk7PXBK"
1962478475039629625,"Amazon／今ならポイントUPキャンペーン中！

LangChainとLangGraphによるRAG・AIエージェント［実践］入門 (エンジニア選書)
▼Amazon
https://t.co/BNuaP1vuxq

#PR(02:12:59)"
1962478389333209118,"🚨 NEW WORKSHOP: I'm sharing one of my best AI Projects for FREE: 

How I built an AI Customer Segmentation Agent with Python:

- Scikit Learn
- K-Means
- LangChain
- LangGraph
- OpenAI

👉Register here (500 seats): https://t.co/P6jZxC0iBL https://t.co/PdCJBPFCpe"
1962472006403621185,"AIが賢く深掘り調査！LangChain「Open Deep Research」でプロ級レポートを自動生成！
✎. FYIG: https://t.co/qmzlcZBBWh
LangChainから、最強クラスのAIエージェント「Open Deep Research」がオープンソース化！🎉 賢いAIに調査を任せる時代が本格到来です！"
1962467158832607374,"RT @TearlineAI: 🔥 Tearline × LangChain

DeFi meets AI.
With @LangChainAI , we’re taking our AI + DeFi fusion to the next level—smarter, sim…"
1962465716210414025,"ChatGPT・生成AIのおすすめ本📚
LangChainとLangGraphによるRAG・AIエージェント［実践］入門 エンジニア選書

▼Amazon
https://t.co/K9VJmECELr
▼メルカリ
https://t.co/Fj3yeDktzN

#ChatGPT #生成AI #PR #フォロバ100 https://t.co/wTmzW7v7xL"
1962457805203681490,RT @akidev4drive: LangChainではじめるAIエージェント に参加を申し込みました！ https://t.co/MnYDTTkJuV #はじめてのLangChain
1962457794826948793,RT @akidev4drive: AIエージェントキャッチアップ #47 - Deep Agents (LangChain) に参加を申し込みました！ https://t.co/bWzUy3o4yY #AIエージェントキャッチアップ
1962457404651589715,@KirkDBorne @PacktDataML LangChain and Vertex AI on Google Cloud are my go-to for next-gen GenAI projects! Anyone using them for search or product design? 🚀 #GenAI #CloudAI
1962456679406264685,RT @healoriq: I’m building an AI tool for our client in the insurance sector. It automatically replies to customer reviews—thank-you notes…
1962456099652796848,"@connordavis_ai LangChain + Pinecone + GPT-4 is exactly the stack I’ve been using.

Nice to see it laid out cleanly here."
1962455997831885057,RT @akidev4drive: AIエージェントキャッチアップ #47 - Deep Agents (LangChain) に参加を申し込みました！ https://t.co/bWzUy3o4yY #AIエージェントキャッチアップ
